title,authors,year,source
"Heat stress-induced deficits in growth, metabolic efficiency, and cardiovascular function coincided with chronic systemic inflammation and hypercatecholaminemia in ractopamine-supplemented feedlot lambs",Swanson R.M.,2019,Journal of Animal Science
Sleep duration and cardiovascular risk: Results of the large-scale epidemiology study ESSE-RF,Bochkarev M.,2019,Arterial Hypertension (Poland)
The inappropriateness of left ventricular mass and echoreflectivity in males with essential hypertension and different CYP11B2 gene polymorphisms,Lozinska M.,2019,Arterial Hypertension (Poland)
Central-to-peripheral systolic blood pressure different phenotypes and relation to accuracy of daily used cuff devices,Bendary A.,2019,Arterial Hypertension (Poland)
"Hypertension awareness, treatment, and control in US Adults: Trends in the hypertension control cascade by population subgroup (National Health and Nutrition Examination Survey, 1999-2016)",Foti K.,2019,American Journal of Epidemiology
Physiological monitoring in the complex multi-morbid heart failure patient - Introduction,Rosano G.M.C.,2019,"European Heart Journal, Supplement"
Predictors of unfavourable outcome in aneurysmal subarachnoid haemorrhage,Nastasovic T.,2019,Neurologia i Neurochirurgia Polska
Sympathetic cardiovascular function status of Chronic Obstructive Pulmonary Disease (COPD),Baksh S.,2019,Bangladesh Medical Research Council Bulletin
Effects of vitamin D<inf>3</inf> supplementation combined with standardized hypoglycemic regimen on islet β cell function and macrovascular complications in newly diagnosed type 2 diabetes mellitus,Liu S.,2019,Chinese Journal of Clinical Nutrition
The effect of co supplementation of omega-3 and vitamin D on cardio metabolic risk factors and psychological distress in reproductive-aged women with prediabetes and hypovitaminosis D: A study protocol for a randomized controlled trial,Rajabi-Naeeni M.,2019,Trials
MicroRNA-204 as an indicator of severity of pulmonary hypertension in children with congenital heart disease complicated with pulmonary hypertension,Li X.,2019,Medical Science Monitor
A co-infection of varicella-zoster virus and Pneumocystis jirovecii in a non-HIV immunocompromised patient: A case report,Muramatsu H.,2019,BMC Infectious Diseases
Comprehensive evaluation of effects and safety of statin on the progression of liver cirrhosis: A systematic review and meta-analysis,Gu Y.,2019,BMC Gastroenterology
"The effect of home-based low-volume, high-intensity interval training on cardiorespiratory fitness, body composition and cardiometabolic health in women of normal body mass and those with overweight or obesity: Protocol for a randomized controlled trial",Frimpong E.,2019,"BMC Sports Science, Medicine and Rehabilitation"
Testing effectiveness of the revised Cape Town modified early warning and SBAR systems: A pilot pragmatic parallel group randomised controlled trial,Kyriacos U.,2019,Trials
Individualized dynamic prediction of survival with the presence of intermediate events,Papageorgiou G.,2019,Statistics in Medicine
It could be in the kidneys: Fibromuscular dysplasia and the association with headaches and mood disorders,Verghese D.,2019,BMJ Case Reports
Advances in research of spontaneous splenorenal shunt in patients with liver cirrhosis,Yi F.F.,2019,World Chinese Journal of Digestology
Correlation between blood pressure and level of catecholamine in children with obstructive sleep apnea hypopnea syndrome,Chen S.M.,2019,Journal of Shanghai Jiaotong University (Medical Science)
Relationship between body mass index and central haemodynamic indices,Chao H.J.,2019,Journal of Shanghai Jiaotong University (Medical Science)
Age-specific diabetes risk by the number of metabolic syndrome components: A Korean nationwide cohort study,Lee M.K.,2019,Diabetology and Metabolic Syndrome
Evaluation of peripheral perfusion index and heart rate variability as early predictors for intradialytic hypotension in critically ill patients,Mostafa H.,2019,BMC Anesthesiology
"The effect of daily consumption of different doses of fortified Lavash bread versus plain bread on serum vitamin-D status, body composition, metabolic and inflammatory biomarkers, and gut microbiota in apparently healthy adult: Study protocol of a randomized clinical trial",Tangestani H.,2019,Trials
Microvascular decompression for the treatment of neurogenic hypertension with trigeminal neuralgia,Lu W.,2019,BMC Neurology
The association of metabolic syndrome components and chronic kidney disease in patients with hypertension,Xie K.,2019,Lipids in Health and Disease
Analyzing brain structural differences associated with categories of blood pressure in adults using empirical kernel mapping-based kernel ELM+,Yu X.,2019,BioMedical Engineering Online
Effect of oral L-citrulline on brachial and aortic blood pressure defined by resting status: Evidence from randomized controlled trials,Yang H.H.,2019,Nutrition and Metabolism
SUMO1 modification of PKD2 channels regulates arterial contractility,Hasan R.,2019,Proceedings of the National Academy of Sciences of the United States of America
Sex-specific association between serum uric acid and retinal microvessels,Li Q.,2019,Medical Science Monitor
Prevalence characters of peripheral artery disease and associated factors among Beijing residents aged equal and above 35 years old,Zhao Q.,2019,Chinese Journal of Cardiology
"Genome-wide identification, phylogeny, and expression analysis of the SBP-box gene family in Euphorbiaceae",Li J.,2019,BMC Genomics
A Patient with Psychiatric Illness and Multiple Hemorrhages,Van Baalen E.,2019,JAMA - Journal of the American Medical Association
Cardiovascular Effects of Switching From Tobacco Cigarettes to Electronic Cigarettes,George J.,2019,Journal of the American College of Cardiology
A Study on Coronary Disease Prediction Using Boosting-based Ensemble Machine Learning Approaches,Sultan Bin Habib A.Z.,2019,ICIET 2019 - 2nd International Conference on Innovation in Engineering and Technology
Isotemporal substitution of inactive time with physical activity and time in bed: Cross-sectional associations with cardiometabolic health in the PREDIMED-Plus study,Galmes-Panades A.M.,2019,International Journal of Behavioral Nutrition and Physical Activity
"Antidiabetic and hypolipidemic effects of 5,7-dimethoxyflavone in streptozotocin-induced diabetic rats",Xie Y.,2019,Medical Science Monitor
Plant-based dietary approach to stage 3 chronic kidney disease with hyperphosphataemia,Campbell T.M.,2019,BMJ Case Reports
Inhibition of microRNA-146a attenuated heart failure in myocardial infarction rats,He J.,2019,Bioscience Reports
Evening dosing of antihypertensive drugs - future studies should be awaited before changing clinical practice,Brunström M.,2019,Lakartidningen
"Design and rationale for a pragmatic cluster randomized trial of the Cardiovascular Health Awareness Program (CHAP) for social housing residents in Ontario and Quebec, Canada",Agarwal G.,2019,Trials
Evaluation of the efficacy of simplified nutritional instructions from physicians on dietary salt restriction for patients with type 2 diabetes mellitus consuming excessive salt: Protocol for a randomized controlled trial,Ushigome E.,2019,Trials
Life-threatening complications of high doses of intravenous methylprednisolone for treatment of Graves' orbitopathy,Walasik-Szemplińska D.,2019,Thyroid Research
Association of the mean platelet volume and red cell distribution width with dipper and non-dipper blood pressure in prehypertensive non-smokers,Taban Sadeghi M.,2019,BMC Research Notes
Double Utility of a Buddy Wire in Transseptal Transcatheter Mitral Intervention,Malik I.S.,2019,JACC: Cardiovascular Interventions
Serum P-cresyl sulfate is a predictor of central arterial stiffness in patients on maintenance hemodialysis,Lai Y.H.,2019,Toxins
C-reactive protein and all-cause mortality in patients with stable coronary artery disease: A secondary analysis based on a retrospective cohort study,Luo F.,2019,Medical Science Monitor
Exercise capacity and body mass index - Important predictors of change in resting heart rate,Ehrenwald M.,2019,BMC Cardiovascular Disorders
"Circulating microRNAs (miR-126, miR-197, and miR-223) are associated with chronic kidney disease among elderly survivors of the Great East Japan Earthquake",Fujii R.,2019,BMC Nephrology
"Irbesartan in Marfan syndrome (AIMS): a double-blind, placebo-controlled randomised trial",Mullen M.,2019,The Lancet
"Interactive Effects of Racial Identity and Repetitive Head Impacts on Cognitive Function, Structural MRI-Derived Volumetric Measures, and Cerebrospinal Fluid Tau and Aβ",Alosco M.L.,2019,Frontiers in Human Neuroscience
Intervention planning and modification of the BUMP intervention: A digital intervention for the early detection of raised blood pressure in pregnancy,Band R.,2019,Pilot and Feasibility Studies
Short-term effects of real-time personal PM2.5 exposure on ambulatory blood pressure: A panel study in young adults,Ren M.,2019,Science of the Total Environment
"The prevalence, awareness, management and control of hypertension in men and women in Benin, West Africa: The TAHES study",Desormais I.,2019,BMC Cardiovascular Disorders
Impaired myocardial deformation and ventricular vascular coupling in obese adolescents with dysglycemia,Brar P.C.,2019,Cardiovascular Diabetology
Effect of workplace physical activity interventions on the cardio-metabolic health of working adults: Systematic review and meta-analysis,Mulchandani R.,2019,International Journal of Behavioral Nutrition and Physical Activity
Evaluation of electrolyte concentration and pro-inflammatory and oxidative status in dogs with advanced chronic kidney disease under dietary treatment,Halfen D.P.,2019,Toxins
"The Effects of Balloon Occlusion of the Aorta on Cerebral Blood Flow, Intracranial Pressure, and Brain Tissue Oxygen Tension in a Rodent Model of Penetrating Ballistic-Like Brain Injury",Bailey Z.S.,2019,Frontiers in Neurology
Sex differences in 10-year ischemic cardiovascular disease risk prediction in Chinese patients with prediabetes and type 2 diabetes,Yang L.,2019,BMC Cardiovascular Disorders
Effects of alternate-day fasting on body weight and dyslipidaemia in patients with non-alcoholic fatty liver disease: A randomised controlled trial,Cai H.,2019,BMC Gastroenterology
Manually-generated reminders delivered on paper: effects on professional practice and patient outcomes,Pantoja T.,2019,Cochrane Database of Systematic Reviews
Pulsatile arterial blood pressure mimicking aortic valve opening during continuous-flow LVAD support: A case report,Paprotny M.,2019,Journal of Cardiothoracic Surgery
Associations between normal weight central obesity and cardiovascular disease risk factors in Japanese middle-aged adults: A cross-sectional study,Shirasawa T.,2019,"Journal of Health, Population and Nutrition"
"Red blood cells aggregation in the patients with type 2 diabetes and T2D associated anemia, a case control study in Bangladesh",Kabir A.,2019,"Romanian Journal of Diabetes, Nutrition and Metabolic Diseases"
Preliminary application of transjugular intrahepatic portosystemic shunt in individualized treatment of patients with cirrhotic portal hypertension complicated with refractory ascites and variceal hemorrhage,Jiang M.,2019,National Medical Journal of China
Effect of phosphodiesterase 5 inhibitors on blood pressure,Shawish M.I.,2019,Cochrane Database of Systematic Reviews
Incorporation of Biomarkers into Risk Assessment for Allocation of Antihypertensive Medication According to the 2017 ACC/AHA High Blood Pressure Guideline: A Pooled Cohort Analysis,Pandey A.,2019,Circulation
Achievement of Very Low Low-Density Lipoprotein Cholesterol Levels: Is It Time to Unlearn Concern for Hemorrhagic Stroke?,Michos E.D.,2019,Circulation
High-sensitivity troponin i and B-type natriuretic peptide biomarkers for prediction of cardiovascular events in patients with coronary artery disease with and without diabetes mellitus,Wong Y.K.,2019,Cardiovascular Diabetology
"Comparison of general anesthesia with endotracheal intubation, combined spinal-epidural anesthesia, and general anesthesia with laryngeal mask airway and nerve block for intertrochanteric fracture surgeries in elderly patients: A retrospective cohort study",Liu Y.,2019,BMC Anesthesiology
Is KCNH1 mutation related to coronary artery ectasia,Noori M.R.,2019,BMC Cardiovascular Disorders
"Adding exercise to usual care in patients with hypertension, type 2 diabetes mellitus and/or cardiovascular disease: A protocol for a systematic review with meta-analysis and trial sequential analysis",Rijal A.,2019,Systematic Reviews
Blood Pressure Indexes Associated with Mortality and Cardiovascular Outcomes,Huang Y.,2019,JAMA - Journal of the American Medical Association
Effect of a Strategy of Comprehensive Vasodilation vs Usual Care on Mortality and Heart Failure Rehospitalization among Patients with Acute Heart Failure: The GALACTIC Randomized Clinical Trial,Kozhuharov N.,2019,JAMA - Journal of the American Medical Association
Blood Pressure Indexes Associated with Mortality and Cardiovascular Outcomes - Reply,Yang W.Y.,2019,JAMA - Journal of the American Medical Association
"Inpatient notes: Clinical pearls-e-cigarette, or vaping, product use-associated lung injury",Ghinai I.,2019,Annals of Internal Medicine
