title,authors,year,source
A study of diagnostic parameters in assessment of metabolic syndrome (MetS) among medical students,Begum G.S.,2022,Biomedicine (India)
Spectrum of eyelid malignancies at a tertiary care hospital in coastal India,D’ Souza S.M.,2022,Biomedicine (India)
"PREVALENCE OF KNEE PAIN AND ITS ASSOCIATED FACTORS AMONG SCHOOL TEACHERS IN SELANGOR, MALAYSIA",Eva N.Z.,2022,Journal of Health and Translational Medicine
A REVIEW ON CD88-EXPRESSING IMMUNE CELLS AND THEIR INFLUENCE ON ATHEROSCLEROSIS,Rumah M.H.,2022,Journal of Health and Translational Medicine
A Discrepancy: Calcium Channel Blockers Are Effective for the Treatment of Hypertensive Left Ventricular Hypertrophy but Not as Effective for Prevention of Heart Failure,Koracevic G.,2022,Medical Principles and Practice
Clinical significance of the neutrophil-to-lymphocyte ratio and platelet-to-lymphocyte ratio in acute exacerbations of COPD: present and future,Zinellu A.,2022,European Respiratory Review
Parasitic lung diseases,Al-Tawfiq J.A.,2022,European Respiratory Review
Riociguat and the right ventricle in pulmonary arterial hypertension and chronic thromboembolic pulmonary hypertension,Benza R.L.,2022,European Respiratory Review
"Phytochemical, Antioxidant Analysis and In Vitro Xanthine Oxidase Inhibitory Activity of Kaempferia parviflora and Kaempferia galanga",Julianti T.B.,2022,Tropical Journal of Natural Product Research
Antihypertensive and Cardioprotective Effects of Salvia officinalis (Sage) Leaf in N<sup>G</sup>-Nitro-L-Arginine Methyl Ester (L-NAME) Induced-Hypertensive Wistar Rats,Mokogwu A.T.H.,2022,Tropical Journal of Natural Product Research
The influence of serum sodium concentration on prognosis in patients with urothelial carcinoma treated by radical cystectomy,Zhang Y.,2022,Medicine (United States)
A case report of epileptic seizures caused by Rosai Dorfman disease followed by a literature review,Zhang Z.,2022,Medicine (United States)
Total thyroidectomy for giant nodular goiter guided by pre-operative 3D computed tomography reconstruction and 3D printing A case report,Zhang J.,2022,Medicine (United States)
Case report of anosognosia for hemiplegia A fMRI study,Formica C.,2022,Medicine (United States)
Recurrent pancreatitis and sepsis in glycogen storage disease type Ia caused by complex heterozygous mutations in 2 sisters Case report,Liu Q.,2022,Medicine (United States)
Alteplase associated Orolingual angioedema A case report and literature review,Qi X.,2022,Medicine (United States)
Differential effects of hyperhomocysteinemia on the lipid profiles and lipid ratios between patients with and without coronary artery disease A retrospective observational study,Wu D.F.,2022,Medicine (United States)
One filter may be enough for duplicate inferior vena cava filter implantation in patients with deep venous thrombosis Two cases report,Li T.,2022,Medicine (United States)
INDUCTION TO DELIVERY INTERVAL AND ITS EFFECT ON FETOMATERNAL OUTCOMES IN ECLAMPSIA AND SEVERE PRE-ECLAMPSIA,Raees M.,2022,Journal of Medical Sciences (Peshawar)
Fenestration and duplication of contralateral internal jugular veins with concomitant cerebral arteries malformations,Winder M.,2022,Acta Angiologica
An outbreak of serotype 19A pneumococcal pneumonia in a relief facility in Japan,Moro H.,2022,Infection Control and Hospital Epidemiology
Plant-based dietary patterns and their association with mood in healthy individuals,Ma X.,2022,Food and Function
Gut mycobiome dysbiosis contributes to the development of hypertension and its response to immunoglobulin light chains,Zou Y.,2022,Frontiers in Immunology
The Multiscale Dynamics of Beat-to-Beat Blood Pressure Fluctuation Mediated the Relationship Between Frailty and Arterial Stiffness in Older Adults,Jiang X.,2022,"The journals of gerontology. Series A, Biological sciences and medical sciences"
"Process evaluation of the scale-up of integrated diabetes and hypertension care in Belgium, Cambodia and Slovenia (the SCUBY Project): a study protocol",Martens M.,2022,BMJ open
Association of pregnancy complications/risk factors with the development of future long-term health conditions in women: overarching protocol for umbrella reviews,Singh M.,2022,BMJ open
Choice of Admitting Services for Older Adults with Hip Fracture,Devereaux P.J.,2022,New England Journal of Medicine
Case 40-2022: A 38-Year-Old Man with Exertional Chest Discomfort,Cabot R.C.,2022,New England Journal of Medicine
"Thiazide-like versus Thiazide Diuretics - Finally, an Answer?",Ingelfinger J.R.,2022,New England Journal of Medicine
Chlorthalidone vs. Hydrochlorothiazide for Hypertension-Cardiovascular Events,Ishani A.,2022,New England Journal of Medicine
Coagulation-independent effects of thrombin and Factor Xa: role of protease-activated receptors in pulmonary hypertension,Joseph C.,2022,Cardiovascular research
Targeting RUNX1 as a novel treatment modality for pulmonary arterial hypertension,Jeong E.M.,2022,Cardiovascular research
Interferon-stimulated gene 15 pathway is a novel mediator of endothelial dysfunction and aneurysms development in angiotensin II infused mice through increased oxidative stress,González-Amor M.,2022,Cardiovascular research
Exploring the score for rapid identification of cerebral infarction in patients with acute dizziness,Lin G.,2022,Journal of Shanghai Jiaotong University (Medical Science)
Advances in extracardiac mechanisms for heart failure with preserved ejection fraction,Wang S.,2022,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences
"Epidemiological investigation of risk factors for cataract among people aged 50 and over in Tacheng area, Xinjiang",Li X.,2022,Zhonghua Shiyan Yanke Zazhi/Chinese Journal of Experimental Ophthalmology
"Editorial: With obesity becoming the new normal, what should we do? ‐Volume II",Tziomalos K.,2022,Frontiers in Endocrinology
"Editorial: Cerebrospinal fluid dynamics and intracranial pressure elevation–Novel insights on molecular and physiological mechanisms, and implications for neurological disease",Patabendige A.,2022,Frontiers in Molecular Neuroscience
Statistical methods for the classification and risks for arterial hypertension,Gutiérrez H.Ó.C.,2022,"TECHNO Review. International Technology, Science and Society Review / Revista Internacional de Tecnología, Ciencia y Sociedad"
Does chemotherapy regimen matter in the neoadjuvant treatment of esophageal cancer?,Logarajah S.,2022,Journal of Gastrointestinal Oncology
"Liver resection for hepatocellular carcinoma beyond the BCLC: are multinodular disease, portal hypertension, and portal system invasion real contraindications?",de Almeida Barros A.Z.,2022,Journal of Gastrointestinal Oncology
